ADDRESS1,ADDRESS2,POSTCODE,PROPERTY_TYPE,BUILT_FORM,CONSTRUCTION_AGE_BAND,TOTAL_FLOOR_AREA,NUMBER_HABITABLE_ROOMS,WALLS_DESCRIPTION,ROOF_DESCRIPTION,WINDOWS_DESCRIPTION,MAINHEAT_DESCRIPTION,HOTWATER_DESCRIPTION,CURRENT_ENERGY_RATING,POTENTIAL_ENERGY_RATING,LODGEMENT_DATE,UPRN
9 Fishponds Road,,SW17 2FJ,House,Mid-Terrace,England and Wales: 1900-1929,145,7,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100060153
10 Fishponds Road,,SW17 2FJ,House,Mid-Terrace,England and Wales: 1900-1929,139,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100060170
11 Fishponds Road,,SW17 2FJ,House,Mid-Terrace,England and Wales: 1900-1929,110,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,C,C,2023-05-14,100060187
12 Fishponds Road,,SW17 2FJ,House,Mid-Terrace,England and Wales: 1900-1929,109,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100060204
13 Fishponds Road,,SW17 2FJ,House,End-Terrace,England and Wales: 1900-1929,114,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100060221
14 Fishponds Road,,SW17 2FJ,House,Mid-Terrace,England and Wales: 1900-1929,105,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100060238
15 Fishponds Road,,SW17 2FJ,House,Mid-Terrace,England and Wales: 1900-1929,99,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100060255
16 Fishponds Road,,SW17 2FJ,House,Mid-Terrace,England and Wales: 1900-1929,126,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100060272
17 Fishponds Road,,SW17 2FJ,House,Mid-Terrace,England and Wales: 1900-1929,106,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100060289
18 Fishponds Road,,SW17 2FJ,Flat,Mid-Terrace,England and Wales: 1900-1929,104,5,"Solid brick, as built, no insulation (assumed)",(another dwelling above),Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100060306
19 Fishponds Road,,SW17 2FJ,House,Mid-Terrace,England and Wales: 1900-1929,111,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,C,C,2023-05-14,100060323
20 Fishponds Road,,SW17 2FJ,House,Mid-Terrace,England and Wales: 1900-1929,137,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100060340
1 Ansell Road,,SW17 1GA,House,End-Terrace,England and Wales: 1900-1929,135,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100070017
2 Ansell Road,,SW17 1GA,House,Mid-Terrace,England and Wales: 1900-1929,150,7,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100070034
3 Ansell Road,,SW17 1GA,House,Mid-Terrace,England and Wales: 1900-1929,135,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,C,C,2023-05-14,100070051
4 Ansell Road,,SW17 1GA,House,Mid-Terrace,England and Wales: 1900-1929,134,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100070068
5 Ansell Road,,SW17 1GA,House,Mid-Terrace,England and Wales: 1900-1929,127,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100070085
6 Ansell Road,,SW17 1GA,House,Mid-Terrace,England and Wales: 1900-1929,110,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100070102
7 Ansell Road,,SW17 1GA,House,Mid-Terrace,England and Wales: 1900-1929,97,4,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100070119
8 Ansell Road,,SW17 1GA,House,Mid-Terrace,England and Wales: 1900-1929,124,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100070136
9 Ansell Road,,SW17 1GA,House,Mid-Terrace,England and Wales: 1900-1929,133,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100070153
10 Ansell Road,,SW17 1GA,House,Mid-Terrace,England and Wales: 1900-1929,97,4,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100070170
11 Ansell Road,,SW17 1GA,House,Mid-Terrace,England and Wales: 1900-1929,110,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,C,C,2023-05-14,100070187
12 Ansell Road,,SW17 1GA,House,Mid-Terrace,England and Wales: 1900-1929,126,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100070204
13 Ansell Road,,SW17 1GA,House,End-Terrace,England and Wales: 1900-1929,98,4,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100070221
14 Ansell Road,,SW17 1GA,House,Mid-Terrace,England and Wales: 1900-1929,131,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100070238
15 Ansell Road,,SW17 1GA,House,Mid-Terrace,England and Wales: 1900-1929,123,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100070255
16 Ansell Road,,SW17 1GA,House,Mid-Terrace,England and Wales: 1900-1929,111,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100070272
17 Ansell Road,,SW17 1GA,House,Mid-Terrace,England and Wales: 1900-1929,143,7,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100070289
18 Ansell Road,,SW17 1GA,House,Mid-Terrace,England and Wales: 1900-1929,126,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100070306
19 Ansell Road,,SW17 1GA,House,Mid-Terrace,England and Wales: 1900-1929,99,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100070323
20 Ansell Road,,SW17 1GA,House,Mid-Terrace,England and Wales: 1900-1929,126,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100070340
1 Brudenell Road,,SW17 2HB,Flat,Mid-Terrace,England and Wales: 1930-1949,70,3,"Cavity wall, as built, insulated (assumed)",(another dwelling above),Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100080017
2 Brudenell Road,,SW17 2HB,Flat,Mid-Terrace,England and Wales: 1930-1949,82,4,"Cavity wall, as built, insulated (assumed)",(another dwelling above),Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100080034
3 Brudenell Road,,SW17 2HB,House,Mid-Terrace,England and Wales: 1900-1929,112,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,C,C,2023-05-14,100080051
4 Brudenell Road,,SW17 2HB,House,Mid-Terrace,England and Wales: 1900-1929,99,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100080068
5 Brudenell Road,,SW17 2HB,Flat,Mid-Terrace,England and Wales: 1930-1949,87,4,"Cavity wall, as built, insulated (assumed)",(another dwelling above),Partial double glazing,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100080085
6 Brudenell Road,,SW17 2HB,House,Mid-Terrace,England and Wales: 1900-1929,111,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100080102
7 Brudenell Road,,SW17 2HB,House,Semi-Detached,England and Wales: 1930-1949,100,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100080119
8 Brudenell Road,,SW17 2HB,House,Semi-Detached,England and Wales: 1930-1949,103,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100080136
9 Brudenell Road,,SW17 2HB,House,Mid-Terrace,England and Wales: 1900-1929,106,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100080153
10 Brudenell Road,,SW17 2HB,House,Semi-Detached,England and Wales: 1930-1949,112,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100080170
11 Brudenell Road,,SW17 2HB,House,Semi-Detached,England and Wales: 1930-1949,128,6,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100080187
12 Brudenell Road,,SW17 2HB,House,Mid-Terrace,England and Wales: 1900-1929,123,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100080204
13 Brudenell Road,,SW17 2HB,House,End-Terrace,England and Wales: 1900-1929,142,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100080221
14 Brudenell Road,,SW17 2HB,House,Mid-Terrace,England and Wales: 1900-1929,107,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100080238
15 Brudenell Road,,SW17 2HB,House,Mid-Terrace,England and Wales: 1900-1929,139,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100080255
16 Brudenell Road,,SW17 2HB,Flat,Mid-Terrace,England and Wales: 1930-1949,64,3,"Cavity wall, as built, insulated (assumed)",(another dwelling above),Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100080272
17 Brudenell Road,,SW17 2HB,House,Mid-Terrace,England and Wales: 1900-1929,137,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100080289
18 Brudenell Road,,SW17 2HB,House,Mid-Terrace,England and Wales: 1900-1929,102,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,C,C,2023-05-14,100080306
19 Brudenell Road,,SW17 2HB,House,Mid-Terrace,England and Wales: 1900-1929,107,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100080323
20 Brudenell Road,,SW17 2HB,House,Semi-Detached,England and Wales: 1930-1949,108,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100080340
1 Ashvale Road,,SW17 1JC,House,Semi-Detached,England and Wales: 1930-1949,96,4,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100090017
2 Ashvale Road,,SW17 1JC,House,Semi-Detached,England and Wales: 1930-1949,127,6,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100090034
3 Ashvale Road,,SW17 1JC,Flat,Mid-Terrace,England and Wales: 1930-1949,78,4,"Cavity wall, as built, insulated (assumed)",(another dwelling above),Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100090051
4 Ashvale Road,,SW17 1JC,House,Semi-Detached,England and Wales: 1930-1949,100,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100090068
5 Ashvale Road,,SW17 1JC,House,Semi-Detached,England and Wales: 1930-1949,123,6,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100090085
6 Ashvale Road,,SW17 1JC,House,Semi-Detached,England and Wales: 1930-1949,123,6,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100090102
7 Ashvale Road,,SW17 1JC,House,Semi-Detached,England and Wales: 1930-1949,97,4,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,C,C,2023-05-14,100090119
8 Ashvale Road,,SW17 1JC,House,Semi-Detached,England and Wales: 1930-1949,120,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100090136
9 Ashvale Road,,SW17 1JC,House,Semi-Detached,England and Wales: 1930-1949,107,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100090153
10 Ashvale Road,,SW17 1JC,House,Semi-Detached,England and Wales: 1930-1949,117,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100090170
11 Ashvale Road,,SW17 1JC,House,Semi-Detached,England and Wales: 1930-1949,108,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100090187
12 Ashvale Road,,SW17 1JC,House,Semi-Detached,England and Wales: 1930-1949,104,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100090204
13 Ashvale Road,,SW17 1JC,Flat,Mid-Terrace,England and Wales: 1930-1949,55,3,"Cavity wall, as built, insulated (assumed)",(another dwelling above),Partial double glazing,"Boiler and radiators, mains gas",From main system,C,C,2023-05-14,100090221
14 Ashvale Road,,SW17 1JC,House,Semi-Detached,England and Wales: 1930-1949,95,4,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,C,C,2023-05-14,100090238
15 Ashvale Road,,SW17 1JC,House,Semi-Detached,England and Wales: 1930-1949,94,4,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,C,C,2023-05-14,100090255
16 Ashvale Road,,SW17 1JC,House,Semi-Detached,England and Wales: 1930-1949,106,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100090272
17 Ashvale Road,,SW17 1JC,House,Semi-Detached,England and Wales: 1930-1949,91,4,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100090289
18 Ashvale Road,,SW17 1JC,House,Semi-Detached,England and Wales: 1930-1949,98,4,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100090306
19 Ashvale Road,,SW17 1JC,House,Semi-Detached,England and Wales: 1930-1949,128,6,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100090323
20 Ashvale Road,,SW17 1JC,Flat,Mid-Terrace,England and Wales: 1930-1949,77,4,"Cavity wall, as built, insulated (assumed)",(another dwelling above),Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100090340
1 Selkirk Road,,SW17 2AD,Flat,Mid-Terrace,England and Wales: 1900-1929,100,5,"Solid brick, as built, no insulation (assumed)",(another dwelling above),Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,1000100017
2 Selkirk Road,,SW17 2AD,House,Mid-Terrace,England and Wales: 1900-1929,137,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,1000100034
3 Selkirk Road,,SW17 2AD,House,Mid-Terrace,England and Wales: 1900-1929,104,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,1000100051
4 Selkirk Road,,SW17 2AD,House,Mid-Terrace,England and Wales: 1900-1929,136,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,1000100068
5 Selkirk Road,,SW17 2AD,House,Mid-Terrace,England and Wales: 1900-1929,122,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,1000100085
6 Selkirk Road,,SW17 2AD,House,Mid-Terrace,England and Wales: 1900-1929,137,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,1000100102
7 Selkirk Road,,SW17 2AD,House,Mid-Terrace,England and Wales: 1900-1929,139,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,1000100119
8 Selkirk Road,,SW17 2AD,House,Mid-Terrace,England and Wales: 1900-1929,98,4,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,1000100136
9 Selkirk Road,,SW17 2AD,House,Mid-Terrace,England and Wales: 1900-1929,102,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,1000100153
10 Selkirk Road,,SW17 2AD,House,Mid-Terrace,England and Wales: 1900-1929,129,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,1000100170
11 Selkirk Road,,SW17 2AD,House,Mid-Terrace,England and Wales: 1900-1929,146,7,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,1000100187
12 Selkirk Road,,SW17 2AD,House,Mid-Terrace,England and Wales: 1900-1929,136,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,1000100204
13 Selkirk Road,,SW17 2AD,Flat,Mid-Terrace,England and Wales: 1900-1929,98,4,"Solid brick, as built, no insulation (assumed)",(another dwelling above),Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,1000100221
14 Selkirk Road,,SW17 2AD,House,Mid-Terrace,England and Wales: 1900-1929,117,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,1000100238
15 Selkirk Road,,SW17 2AD,House,Mid-Terrace,England and Wales: 1900-1929,104,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,1000100255
16 Selkirk Road,,SW17 2AD,House,Mid-Terrace,England and Wales: 1900-1929,110,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,1000100272
17 Selkirk Road,,SW17 2AD,House,Mid-Terrace,England and Wales: 1900-1929,104,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,1000100289
18 Selkirk Road,,SW17 2AD,House,Mid-Terrace,England and Wales: 1900-1929,121,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,C,C,2023-05-14,1000100306
19 Selkirk Road,,SW17 2AD,House,Mid-Terrace,England and Wales: 1900-1929,123,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,C,C,2023-05-14,1000100323
20 Selkirk Road,,SW17 2AD,House,Mid-Terrace,England and Wales: 1900-1929,122,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,1000100340
